strategy,args,step,mAP,train_time,active_time,total_time
random_sampling,{},0,0.11446043041158822,437.64002895355225,0,437.64002895355225
random_sampling,{},1,0.1974787854128302,418.6374351978302,0.00217437744140625,418.6396095752716
random_sampling,{},2,0.2512696113331757,403.7616412639618,0.0023839473724365234,403.76402521133423
random_sampling,{},3,0.3093669365124209,399.87808871269226,0.013068199157714844,399.89115691185
random_sampling,{},4,0.33899007549524635,386.3997507095337,0.0075702667236328125,386.4073209762573
random_sampling,{},5,0.3613578931137906,401.0028154850006,0.0038874149322509766,401.00670289993286
random_sampling,{},6,0.3805539366575784,403.1508038043976,0.004304647445678711,403.15510845184326
random_sampling,{},7,0.40250236847804155,438.61309933662415,0.005749940872192383,438.61884927749634
random_sampling,{},8,0.4205981111669913,454.8124415874481,0.004952669143676758,454.8173942565918
random_sampling,{},9,0.4212084680199298,440.93236470222473,0.006086111068725586,440.93845081329346
random_sampling,{},10,0.43589453615085433,427.7492654323578,0.0027229785919189453,427.7519884109497
random_sampling,{},11,0.43525403420696007,410.90990591049194,0.002822399139404297,410.91272830963135
random_sampling,{},12,0.46254546570270605,407.59889459609985,0.0052983760833740234,407.6041929721832
random_sampling,{},13,0.46322512586176445,538.1285779476166,0.008121252059936523,538.1366991996765
random_sampling,{},14,0.46337691516679397,513.5845334529877,0.010390281677246094,513.5949237346649
random_sampling,{},15,0.4716618698936953,496.6851878166199,0.01440882682800293,496.6995966434479
random_sampling,{},16,0.48188513368187824,489.53726530075073,0.005846261978149414,489.5431115627289
random_sampling,{},17,0.4813556771108611,429.3180961608887,0.006730556488037109,429.3248267173767
random_sampling,{},18,0.4897339522172781,449.9142744541168,0.00902414321899414,449.9232985973358
random_sampling,{},19,0.4761560418888206,454.62068486213684,0.008680582046508789,454.62936544418335
