strategy,args,step,mAP,train_time,active_time,total_time,total_samples,bboxes
random_sampling,{},0,0.20701921044381782,586.8399810791016,0,586.8399810791016,1000,2629
random_sampling,{},1,0.29344704992259407,581.9858057498932,0.002463817596435547,581.9882695674896,1300,3435
random_sampling,{},2,0.34575073117307,563.4828143119812,0.003789186477661133,563.4866034984589,1600,4129
random_sampling,{},3,0.39241382038886846,559.0005977153778,0.002363920211791992,559.0029616355896,1900,4957
random_sampling,{},4,0.4207979040408657,548.467278957367,0.002450704574584961,548.4697296619415,2200,5741
random_sampling,{},5,0.4399026020157081,715.1085834503174,0.003124237060546875,715.1117076873779,2500,6569
random_sampling,{},6,0.44360003654457786,614.4223759174347,0.00508880615234375,614.427464723587,2800,7479
random_sampling,{},7,0.45790405663184447,615.5890645980835,0.002729654312133789,615.5917942523956,3100,8247
random_sampling,{},8,0.4755568266971152,619.31778383255,0.0041980743408203125,619.3219819068909,3400,9131
random_sampling,{},9,0.4802603514982794,743.0555899143219,0.002832174301147461,743.058422088623,3700,9823
random_sampling,{},10,0.4670823501955158,741.1935622692108,0.014606475830078125,741.2081687450409,4000,10613
random_sampling,{},11,0.4967538737705441,650.072119474411,0.007654905319213867,650.0797743797302,4300,11399
random_sampling,{},12,0.49068532541685117,705.738043308258,0.006048440933227539,705.7440917491913,4600,12259
random_sampling,{},13,0.4912996330029622,679.4273653030396,0.003264904022216797,679.4306302070618,4900,12987
random_sampling,{},14,0.49624616397702026,642.1604356765747,0.0040302276611328125,642.1644659042358,5200,13857
random_sampling,{},15,0.5014965558529388,607.5709164142609,0.003062009811401367,607.5739784240723,5500,14663
random_sampling,{},16,0.5054194837448007,563.852846622467,0.0030450820922851562,563.8558917045593,5800,15545
random_sampling,{},17,0.5010137375933644,569.546736240387,0.006730318069458008,569.5534665584564,6100,16463
random_sampling,{},18,0.5162469614546462,569.5609991550446,0.003158092498779297,569.5641572475433,6400,17189
random_sampling,{},19,0.48884053916252784,565.4301497936249,0.004985332489013672,565.4351351261139,6700,17963
random_sampling,{},20,0.5148698868705874,571.0792064666748,0.013805389404296875,571.0930118560791,7000,18875
random_sampling,{},21,0.525897976878086,572.848002910614,0.00572657585144043,572.8537294864655,7300,19613
random_sampling,{},22,0.5337017985832884,570.9999279975891,0.0035240650177001953,571.0034520626068,7600,20481
random_sampling,{},23,0.523643327728371,568.6912384033203,0.005619525909423828,568.6968579292297,7900,21311
random_sampling,{},24,0.5149068765332526,561.817301273346,0.003584623336791992,561.8208858966827,8200,22079
random_sampling,{},25,0.5334957760863628,558.7289593219757,0.00363922119140625,558.7325985431671,8500,22909
random_sampling,{},26,0.5224412004711729,564.8317708969116,0.0035581588745117188,564.8353290557861,8800,23725
random_sampling,{},27,0.5235808709466749,759.5669615268707,0.006001472473144531,759.5729629993439,9100,24485
random_sampling,{},28,0.5377631401263316,681.1113169193268,0.010810136795043945,681.1221270561218,9400,25301
random_sampling,{},29,0.5356453291580756,648.9579546451569,0.0037965774536132812,648.9617512226105,9700,25935
random_sampling,{},30,0.532420547501746,592.8532524108887,0.005968332290649414,592.8592207431793,10000,26771
