strategy,args,step,mAP,train_time,active_time,total_time
uncertainty_aldod_sampling,{},0,0.10846728765313034,438.7874710559845,0,438.7874710559845
uncertainty_aldod_sampling,{},1,0.2039051326796205,399.1794354915619,97.94770431518555,497.12713980674744
uncertainty_aldod_sampling,{},2,0.2597863848033695,408.5441470146179,75.84813857078552,484.39228558540344
uncertainty_aldod_sampling,{},3,0.31136715675686305,398.4053454399109,69.8823721408844,468.2877175807953
uncertainty_aldod_sampling,{},4,0.3445702350315136,400.75853729248047,68.59664392471313,469.3551812171936
uncertainty_aldod_sampling,{},5,0.36357636755952216,404.27634620666504,66.63943338394165,470.9157795906067
uncertainty_aldod_sampling,{},6,0.38158246069104845,424.6327612400055,54.92062544822693,479.5533866882324
uncertainty_aldod_sampling,{},7,0.4066366477890626,447.4984359741211,54.98685669898987,502.48529267311096
uncertainty_aldod_sampling,{},8,0.42614665762894,417.6656346321106,64.4301917552948,482.0958263874054
uncertainty_aldod_sampling,{},9,0.43679954263805615,410.24768924713135,60.334540367126465,470.5822296142578
uncertainty_aldod_sampling,{},10,0.45010599729041567,416.1343421936035,59.15210437774658,475.2864465713501
uncertainty_aldod_sampling,{},11,0.45816151602461674,419.5233008861542,57.71768641471863,477.2409873008728
uncertainty_aldod_sampling,{},12,0.47090109407638947,571.065586566925,72.35719513893127,643.4227817058563
uncertainty_aldod_sampling,{},13,0.4790891720314437,496.9086580276489,66.96719527244568,563.8758533000946
uncertainty_aldod_sampling,{},14,0.48673874881183743,484.4713315963745,58.78471279144287,543.2560443878174
uncertainty_aldod_sampling,{},15,0.5004493934875086,428.3122615814209,59.80943417549133,488.12169575691223
uncertainty_aldod_sampling,{},16,0.4922292474137113,444.61734652519226,40.820703744888306,485.43805027008057
uncertainty_aldod_sampling,{},17,0.2697498470729786,447.3378357887268,43.16498827934265,490.50282406806946
