strategy,args,step,mAP,train_time,active_time,total_time,total_samples,bboxes
uncertainty_aldod_sampling,{},0,0.17802963610724623,581.4209623336792,0,581.4209623336792,1000,2629
uncertainty_aldod_sampling,{},1,0.28197022718126946,560.1588473320007,71.65306115150452,631.8119084835052,1300,3341
uncertainty_aldod_sampling,{},2,0.33988929086042674,555.342166185379,69.82361555099487,625.1657817363739,1600,4069
uncertainty_aldod_sampling,{},3,0.4013301012351686,569.7887830734253,68.42302107810974,638.211804151535,1900,4773
uncertainty_aldod_sampling,{},4,0.4226611020768221,560.7057027816772,64.97614169120789,625.6818444728851,2200,5489
uncertainty_aldod_sampling,{},5,0.432926535262134,748.3877816200256,69.77761459350586,818.1653962135315,2500,6237
uncertainty_aldod_sampling,{},6,0.4661316434179893,625.9851567745209,61.10927414894104,687.0944309234619,2800,6957
uncertainty_aldod_sampling,{},7,0.4667916557215504,610.5168750286102,66.32820415496826,676.8450791835785,3100,7743
uncertainty_aldod_sampling,{},8,0.4905636581624796,740.6078968048096,72.46369934082031,813.0715961456299,3400,8731
uncertainty_aldod_sampling,{},9,0.504257139435692,708.4905819892883,68.13334703445435,776.6239290237427,3700,9479
uncertainty_aldod_sampling,{},10,0.5048036365078341,648.7670848369598,62.61757564544678,711.3846604824066,4000,10251
uncertainty_aldod_sampling,{},11,0.5024794387696151,715.1814479827881,47.34283089637756,762.5242788791656,4300,11153
uncertainty_aldod_sampling,{},12,0.5229575575849987,675.8827815055847,53.88422465324402,729.7670061588287,4600,11993
uncertainty_aldod_sampling,{},13,0.5248583540701792,651.5104668140411,54.52517485618591,706.035641670227,4900,12865
uncertainty_aldod_sampling,{},14,0.5218983319638411,573.3503024578094,45.556225061416626,618.9065275192261,5200,13725
uncertainty_aldod_sampling,{},15,0.52722165139338,575.379189491272,43.54931664466858,618.9285061359406,5500,14433
uncertainty_aldod_sampling,{},16,0.5317339532195162,572.2875719070435,38.98164367675781,611.2692155838013,5800,15309
uncertainty_aldod_sampling,{},17,0.5405820867094555,578.9515793323517,36.619197845458984,615.5707771778107,6086,16043
uncertainty_aldod_sampling,{},18,0.5388970870260653,573.4938831329346,35.93461537361145,609.428498506546,6386,16935
uncertainty_aldod_sampling,{},19,0.5336418747525016,576.5437533855438,32.85174870491028,609.3955020904541,6686,17819
uncertainty_aldod_sampling,{},20,0.5547651597447162,570.3026435375214,30.442832469940186,600.7454760074615,6986,18633
uncertainty_aldod_sampling,{},21,0.5439666475064543,571.4398081302643,28.474817752838135,599.9146258831024,7286,19507
uncertainty_aldod_sampling,{},22,0.5474571993344317,559.5673925876617,25.674604415893555,585.2419970035553,7586,20337
uncertainty_aldod_sampling,{},23,0.552507183202912,568.9650361537933,24.10279607772827,593.0678322315216,7886,21175
uncertainty_aldod_sampling,{},24,0.5513504081140359,569.9788069725037,21.432913064956665,591.4117200374603,8186,21945
uncertainty_aldod_sampling,{},25,0.5571057472700512,748.8988811969757,18.75942063331604,767.6583018302917,8486,22893
uncertainty_aldod_sampling,{},26,0.5591453443535009,696.8657608032227,15.785975694656372,712.651736497879,8786,23735
uncertainty_aldod_sampling,{},27,0.5568870343035475,649.4211852550507,15.745154857635498,665.1663401126862,9086,24571
uncertainty_aldod_sampling,{},28,0.5654143444722484,591.4140164852142,13.090911865234375,604.5049283504486,9386,25569
uncertainty_aldod_sampling,{},29,0.568173446506213,298.88252663612366,4.6498823165893555,303.532408952713,9686,26455
uncertainty_aldod_sampling,{},30,0.5555229989461224,299.44955587387085,3.6851742267608643,303.1347301006317,9986,27261
