strategy,args,step,mAP,train_time,active_time,total_time,total_samples,bboxes
uncertainty_aldod_sampling,{},0,0.19337862986717777,668.4898176193237,0,668.4898176193237,1000,2629
uncertainty_aldod_sampling,{},1,0.2956990184172781,557.7121436595917,73.23332023620605,630.9454638957977,1300,3299
uncertainty_aldod_sampling,{},2,0.34025364549988174,725.9065282344818,72.31081748008728,798.2173457145691,1600,3979
uncertainty_aldod_sampling,{},3,0.39132575947459325,642.4982442855835,78.75497698783875,721.2532212734222,1900,4651
uncertainty_aldod_sampling,{},4,0.40679295660232595,568.9965901374817,68.48851585388184,637.4851059913635,2200,5429
uncertainty_aldod_sampling,{},5,0.4253893029663032,563.6280221939087,63.948397636413574,627.5764198303223,2500,6313
uncertainty_aldod_sampling,{},6,0.46369362174013806,689.7338597774506,61.58571004867554,751.3195698261261,2800,7177
uncertainty_aldod_sampling,{},7,0.47064028587638385,683.2478270530701,67.79577708244324,751.0436041355133,3100,7885
uncertainty_aldod_sampling,{},8,0.48686895011777986,637.0881381034851,63.393922328948975,700.4820604324341,3400,8753
uncertainty_aldod_sampling,{},9,0.5052351272179051,578.3215217590332,57.743934631347656,636.0654563903809,3700,9605
uncertainty_aldod_sampling,{},10,0.498379492323641,593.1359372138977,45.198596715927124,638.3345339298248,4000,10455
uncertainty_aldod_sampling,{},11,0.5170815749772599,590.6696784496307,44.51129508018494,635.1809735298157,4300,11195
uncertainty_aldod_sampling,{},12,0.5190490676058507,573.8577380180359,47.76965045928955,621.6273884773254,4600,12033
uncertainty_aldod_sampling,{},13,0.5245490377368532,576.5252773761749,46.951992988586426,623.4772703647614,4900,12751
uncertainty_aldod_sampling,{},14,0.5343501444285607,568.6274447441101,44.208552837371826,612.8359975814819,5200,13577
uncertainty_aldod_sampling,{},15,0.5169632473220573,561.4783265590668,41.3682804107666,602.8466069698334,5500,14391
uncertainty_aldod_sampling,{},16,0.5337216961045095,560.0436551570892,40.12987732887268,600.1735324859619,5800,15345
uncertainty_aldod_sampling,{},17,0.5428317533402242,569.062709569931,36.90301275253296,605.965722322464,6100,16189
uncertainty_aldod_sampling,{},18,0.5391912555263225,567.348317861557,34.88847279548645,602.2367906570435,6400,16847
uncertainty_aldod_sampling,{},19,0.5278609210027461,618.9243404865265,33.62911510467529,652.5534555912018,6700,17757
uncertainty_aldod_sampling,{},20,0.5400669962652147,622.6752192974091,34.68069338798523,657.3559126853943,7000,18529
uncertainty_aldod_sampling,{},21,0.5524281261023176,615.3262801170349,28.334624767303467,643.6609048843384,7300,19371
uncertainty_aldod_sampling,{},22,0.5568993182591528,566.3995137214661,25.94465684890747,592.3441705703735,7600,20379
uncertainty_aldod_sampling,{},23,0.5565963284439036,562.1267423629761,23.347766876220703,585.4745092391968,7900,21165
uncertainty_aldod_sampling,{},24,0.5560277103835591,568.6558799743652,23.160640716552734,591.816520690918,8200,22093
uncertainty_aldod_sampling,{},25,0.5587896812523511,563.657811164856,19.211864709854126,582.8696758747101,8486,22881
uncertainty_aldod_sampling,{},26,0.562287288110929,710.8149008750916,17.264997482299805,728.0798983573914,8786,23685
uncertainty_aldod_sampling,{},27,0.5734100205607686,686.1296639442444,16.787097454071045,702.9167613983154,9086,24565
uncertainty_aldod_sampling,{},28,0.5700136597388722,669.940657377243,12.02776575088501,681.968423128128,9386,25443
uncertainty_aldod_sampling,{},29,0.5617350959961005,299.88684344291687,8.01296353340149,307.89980697631836,9686,26257
uncertainty_aldod_sampling,{},30,0.5504743072101064,299.6632435321808,3.5617120265960693,303.22495555877686,9986,27027
