strategy,args,step,mAP
uncertainty_aldod_sampling,{},1,0.18457098583625464
uncertainty_aldod_sampling,{},2,0.25181127229613287
uncertainty_aldod_sampling,{},3,0.2907935463389194
uncertainty_aldod_sampling,{},4,0.31887626361585075
uncertainty_aldod_sampling,{},5,0.3568216052891652
uncertainty_aldod_sampling,{},6,0.37526992772174317
uncertainty_aldod_sampling,{},7,0.40757288679010106
uncertainty_aldod_sampling,{},8,0.42371913840198455
uncertainty_aldod_sampling,{},9,0.10749481332799848
uncertainty_aldod_sampling,{},10,0.3604020234177753
uncertainty_aldod_sampling,{},11,0.3998885863333482
uncertainty_aldod_sampling,{},12,0.4247746786440034
uncertainty_aldod_sampling,{},13,0.44935675197070724
uncertainty_aldod_sampling,{},14,0.45985239235120484
uncertainty_aldod_sampling,{},15,0.4629438909366911
uncertainty_aldod_sampling,{},16,0.47786044110286613
uncertainty_aldod_sampling,{},17,0.4710060864912755
uncertainty_aldod_sampling,{},18,0.49863341059547545
uncertainty_aldod_sampling,{},19,0.5009541199041617
uncertainty_aldod_sampling,{},20,0.5028715641845577
uncertainty_aldod_sampling,{},21,0.030554508006398074
uncertainty_aldod_sampling,{},22,0.07044806110648197
uncertainty_aldod_sampling,{},23,0.13091004558194266
uncertainty_aldod_sampling,{},24,0.17138434661179033
uncertainty_aldod_sampling,{},25,0.1983558920258266
uncertainty_aldod_sampling,{},26,0.23745090563402163
uncertainty_aldod_sampling,{},27,0.27114333386147516
uncertainty_aldod_sampling,{},28,0.27282156642122335
uncertainty_aldod_sampling,{},29,0.21705278522863147
uncertainty_aldod_sampling,{},30,0.28498066326492966
