strategy,args,step,mAP
random_sampling,{},1,0.22120480104131182
random_sampling,{},2,0.26975469094085774
random_sampling,{},3,0.3296785824648382
random_sampling,{},4,0.3501722974850877
random_sampling,{},5,0.37494778584460736
random_sampling,{},6,0.38994538080731883
random_sampling,{},7,0.4043025664475686
random_sampling,{},8,0.42269112951562376
random_sampling,{},9,0.4382323895474559
random_sampling,{},10,0.4492880623129625
random_sampling,{},11,0.44399423396443194
random_sampling,{},12,0.4560832378858758
random_sampling,{},13,0.4711062355739222
random_sampling,{},14,0.47010342530330157
random_sampling,{},15,0.473740666447987
random_sampling,{},16,0.49010371194231955
random_sampling,{},17,0.4942757282763952
random_sampling,{},18,0.48739176656507144
random_sampling,{},19,0.4957333828750465
random_sampling,{},20,0.508460145021614
random_sampling,{},21,0.5076817011554756
random_sampling,{},22,0.4948931244279085
random_sampling,{},23,0.5108242907624477
random_sampling,{},24,0.5145432601789
random_sampling,{},25,0.5246033911572784
random_sampling,{},26,0.5144595190730266
random_sampling,{},27,0.5200740230743224
random_sampling,{},28,0.5119176997082897
random_sampling,{},29,0.528217256573427
random_sampling,{},30,0.5300913371965709
